ValuationDate,MarketType,Underlying,Stock Name,Volatility Configuration,Spot Price,Expiration Date,Relative Strike,Strike Price,Volatility,Discount Factor,Depth,Forward Price,Dividend Yield
2017/01/31,Index,KOSPI 200,KOSPI 200,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,268.09,2017/02/09,50,134.05,0.798439,0.999613,H,268.38009,-0.0281892
2017/01/31,Index,KOSPI 200,KOSPI 200,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,268.09,2017/02/09,60,160.85,0.639327,0.999613,H,268.38009,-0.0281892
2017/01/31,Index,KOSPI 200,KOSPI 200,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,268.09,2017/02/09,70,187.66,0.496736,0.999613,H,268.38009,-0.0281892
2017/01/31,Index,KOSPI 200,KOSPI 200,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,268.09,2017/02/09,80,214.47,0.363827,0.999613,H,268.38009,-0.0281892
2017/01/31,Index,KOSPI 200,KOSPI 200,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,268.09,2017/02/09,90,241.28,0.233885,0.999613,H,268.38009,-0.0281892
2017/01/31,Index,KOSPI 200,KOSPI 200,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,268.09,2017/02/09,95,254.69,0.167464,0.999613,H,268.38009,-0.0281892
2017/01/31,Index,KOSPI 200,KOSPI 200,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,268.09,2017/02/09,100,268.09,0.108012,0.999613,H,268.38009,-0.0281892
2017/01/31,Index,KOSPI 200,KOSPI 200,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,268.09,2017/02/09,105,281.49,0.130529,0.999613,H,268.38009,-0.0281892
2017/01/31,Index,KOSPI 200,KOSPI 200,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,268.09,2017/02/09,110,294.90,0.179204,0.999613,H,268.38009,-0.0281892
2017/01/31,Index,KOSPI 200,KOSPI 200,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,268.09,2017/02/09,120,321.71,0.266337,0.999613,H,268.38009,-0.0281892
2017/01/31,Index,KOSPI 200,KOSPI 200,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,268.09,2017/02/09,130,348.52,0.341018,0.999613,H,268.38009,-0.0281892
2017/01/31,Index,KOSPI 200,KOSPI 200,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,268.09,2017/02/09,140,375.33,0.406847,0.999613,H,268.38009,-0.0281892
2017/01/31,Index,KOSPI 200,KOSPI 200,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,268.09,2017/02/09,150,402.14,0.465983,0.999613,H,268.38009,-0.0281892
2017/01/31,Index,KOSPI 200,KOSPI 200,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,268.09,2017/03/09,50,134.05,0.549727,0.999331,H,268.67374,-0.0148681
2017/01/31,Index,KOSPI 200,KOSPI 200,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,268.09,2017/03/09,60,160.85,0.447261,0.999331,H,268.67374,-0.0148681
2017/01/31,Index,KOSPI 200,KOSPI 200,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,268.09,2017/03/09,70,187.66,0.355265,0.999331,H,268.67374,-0.0148681
2017/01/31,Index,KOSPI 200,KOSPI 200,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,268.09,2017/03/09,80,214.47,0.269571,0.999331,H,268.67374,-0.0148681
2017/01/31,Index,KOSPI 200,KOSPI 200,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,268.09,2017/03/09,90,241.28,0.186778,0.999331,H,268.67374,-0.0148681
2017/01/31,Index,KOSPI 200,KOSPI 200,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,268.09,2017/03/09,95,254.69,0.146233,0.999331,H,268.67374,-0.0148681
