ValuationDate,MarketType,Underlying,Stock Name,Volatility Configuration,Spot Price,Expiration Date,Relative Strike,Strike Price,Volatility,Discount Factor,Depth,Forward Price,Dividend Yield
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/02/17,50,1139.44,0.795920,0.999687,H,2276.41721,0.0298627
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/02/17,60,1367.32,0.637256,0.999687,H,2276.41721,0.0298627
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/02/17,70,1595.21,0.494858,0.999687,H,2276.41721,0.0298627
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/02/17,80,1823.10,0.361778,0.999687,H,2276.41721,0.0298627
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/02/17,90,2050.98,0.230705,0.999687,H,2276.41721,0.0298627
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/02/17,95,2164.93,0.162293,0.999687,H,2276.41721,0.0298627
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/02/17,100,2278.87,0.092144,0.999687,H,2276.41721,0.0298627
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/02/17,105,2392.81,0.102732,0.999687,H,2276.41721,0.0298627
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/02/17,110,2506.76,0.145958,0.999687,H,2276.41721,0.0298627
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/02/17,120,2734.64,0.223372,0.999687,H,2276.41721,0.0298627
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/02/17,130,2962.53,0.289754,0.999687,H,2276.41721,0.0298627
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/02/17,140,3190.42,0.348368,0.999687,H,2276.41721,0.0298627
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/02/17,150,3418.31,0.401136,0.999687,H,2276.41721,0.0298627
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/03/17,50,1139.44,0.571603,0.999171,H,2274.42348,0.0225871
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/03/17,60,1367.32,0.465269,0.999171,H,2274.42348,0.0225871
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/03/17,70,1595.21,0.369537,0.999171,H,2274.42348,0.0225871
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/03/17,80,1823.10,0.279917,0.999171,H,2274.42348,0.0225871
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/03/17,90,2050.98,0.191401,0.999171,H,2274.42348,0.0225871
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/03/17,95,2164.93,0.146652,0.999171,H,2274.42348,0.0225871
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/03/17,100,2278.87,0.102657,0.999171,H,2274.42348,0.0225871
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/03/17,105,2392.81,0.087977,0.999171,H,2274.42348,0.0225871
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/03/17,110,2506.76,0.107701,0.999171,H,2274.42348,0.0225871
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/03/17,120,2734.64,0.153562,0.999171,H,2274.42348,0.0225871
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/03/17,130,2962.53,0.194622,0.999171,H,2274.42348,0.0225871
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/03/17,140,3190.42,0.231180,0.999171,H,2274.42348,0.0225871
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/03/17,150,3418.31,0.264191,0.999171,H,2274.42348,0.0225871
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/04/21,50,1139.44,0.485711,0.998486,H,2273.72667,0.0172356
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/04/21,60,1367.32,0.400068,0.998486,H,2273.72667,0.0172356
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/04/21,70,1595.21,0.321319,0.998486,H,2273.72667,0.0172356
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/04/21,80,1823.10,0.247369,0.998486,H,2273.72667,0.0172356
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/04/21,90,2050.98,0.181178,0.998486,H,2273.72667,0.0172356
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/04/21,95,2164.93,0.147037,0.998486,H,2273.72667,0.0172356
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/04/21,100,2278.87,0.111350,0.998486,H,2273.72667,0.0172356
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/04/21,105,2392.81,0.087695,0.998486,H,2273.72667,0.0172356
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/04/21,110,2506.76,0.092985,0.998486,H,2273.72667,0.0172356
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/04/21,120,2734.64,0.122713,0.998486,H,2273.72667,0.0172356
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/04/21,130,2962.53,0.152270,0.998486,H,2273.72667,0.0172356
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/04/21,140,3190.42,0.179198,0.998486,H,2273.72667,0.0172356
2017/01/31,Index,S&P 500,S&P 500,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,2278.87,2017/04/21,150,3418.31,0.203701,0.998486,H,2273.72667,0.0172356
