ValuationDate,MarketType,Underlying,Stock Name,Volatility Configuration,Spot Price,Expiration Date,Relative Strike,Strike Price,Volatility,Discount Factor,Depth,Forward Price,Dividend Yield
2017/01/31,Index,EURO STOXX 50,EURO STOXX 50,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,3230.68,2017/02/17,50,1615.34,0.714512,1.000162,H,3224.65597,0.0366172
2017/01/31,Index,EURO STOXX 50,EURO STOXX 50,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,3230.68,2017/02/17,60,1938.41,0.583717,1.000162,H,3224.65597,0.0366172
2017/01/31,Index,EURO STOXX 50,EURO STOXX 50,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,3230.68,2017/02/17,70,2261.48,0.465872,1.000162,H,3224.65597,0.0366172
2017/01/31,Index,EURO STOXX 50,EURO STOXX 50,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,3230.68,2017/02/17,80,2584.54,0.355343,1.000162,H,3224.65597,0.0366172
2017/01/31,Index,EURO STOXX 50,EURO STOXX 50,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,3230.68,2017/02/17,90,2907.61,0.248165,1.000162,H,3224.65597,0.0366172
2017/01/31,Index,EURO STOXX 50,EURO STOXX 50,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,3230.68,2017/02/17,95,3069.15,0.193986,1.000162,H,3224.65597,0.0366172
2017/01/31,Index,EURO STOXX 50,EURO STOXX 50,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,3230.68,2017/02/17,100,3230.68,0.145236,1.000162,H,3224.65597,0.0366172
2017/01/31,Index,EURO STOXX 50,EURO STOXX 50,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,3230.68,2017/02/17,105,3392.21,0.126241,1.000162,H,3224.65597,0.0366172
2017/01/31,Index,EURO STOXX 50,EURO STOXX 50,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,3230.68,2017/02/17,110,3553.75,0.147317,1.000162,H,3224.65597,0.0366172
2017/01/31,Index,EURO STOXX 50,EURO STOXX 50,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,3230.68,2017/02/17,120,3876.82,0.204964,1.000162,H,3224.65597,0.0366172
2017/01/31,Index,EURO STOXX 50,EURO STOXX 50,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,3230.68,2017/02/17,130,4199.88,0.257323,1.000162,H,3224.65597,0.0366172
2017/01/31,Index,EURO STOXX 50,EURO STOXX 50,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,3230.68,2017/02/17,140,4522.95,0.303622,1.000162,H,3224.65597,0.0366172
2017/01/31,Index,EURO STOXX 50,EURO STOXX 50,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,3230.68,2017/02/17,150,4846.02,0.345387,1.000162,H,3224.65597,0.0366172
2017/01/31,Index,EURO STOXX 50,EURO STOXX 50,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,3230.68,2017/03/17,50,1615.34,0.568198,1.000433,H,3223.50615,0.0145314
2017/01/31,Index,EURO STOXX 50,EURO STOXX 50,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,3230.68,2017/03/17,60,1938.41,0.471938,1.000433,H,3223.50615,0.0145314
2017/01/31,Index,EURO STOXX 50,EURO STOXX 50,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,3230.68,2017/03/17,70,2261.48,0.384997,1.000433,H,3223.50615,0.0145314
2017/01/31,Index,EURO STOXX 50,EURO STOXX 50,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,3230.68,2017/03/17,80,2584.54,0.305128,1.000433,H,3223.50615,0.0145314
2017/01/31,Index,EURO STOXX 50,EURO STOXX 50,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,3230.68,2017/03/17,90,2907.61,0.226713,1.000433,H,3223.50615,0.0145314
2017/01/31,Index,EURO STOXX 50,EURO STOXX 50,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,3230.68,2017/03/17,95,3069.15,0.188081,1.000433,H,3223.50615,0.0145314
2017/01/31,Index,EURO STOXX 50,EURO STOXX 50,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,3230.68,2017/03/17,100,3230.68,0.155180,1.000433,H,3223.50615,0.0145314
2017/01/31,Index,EURO STOXX 50,EURO STOXX 50,EX_MONTHLY_RELATIVE_STRIKES_50_150_20Y,3230.68,2017/03/17,105,3392.21,0.133322,1.000433,H,3223.50615,0.0145314
